timestamp,data,mark
timestamp,data,mark
2024-11-06T19:32:37.841606478+08:00,184078545,"222
"
2024-11-06T19:32:37.942768941+08:00,184056065,"222
"
2024-11-06T19:32:38.043933552+08:00,184078545,"222
"
2024-11-06T19:32:38.145095978+08:00,184078545,"222
"
2024-11-06T19:32:38.246274330+08:00,184078545,"222
"
2024-11-06T19:32:38.347446608+08:00,184072337,"222
"
2024-11-06T19:32:38.448621571+08:00,184051425,"222
"
2024-11-06T19:32:38.549790108+08:00,184069633,"222
"
2024-11-06T19:32:38.650952959+08:00,184081249,"222
"
2024-11-06T19:32:43.137965031+08:00,184060337,"222
"
2024-11-06T19:32:43.239183327+08:00,184069633,"222
"
2024-11-06T19:32:43.340368123+08:00,184069249,"222
"
2024-11-06T19:32:43.441529660+08:00,184060337,"222
"
2024-11-06T19:32:43.542691290+08:00,184060337,"222
"
2024-11-06T19:32:43.643869308+08:00,184051425,"222
"
2024-11-06T19:32:43.745057216+08:00,184060337,"222
"
2024-11-06T19:32:43.846228716+08:00,184064977,"222
"
2024-11-06T19:32:43.947391327+08:00,184060337,"222
"
2024-11-06T19:32:44.048560827+08:00,184042129,"222
"
2024-11-06T19:32:45.825781807+08:00,184060337,"222
"
2024-11-06T19:32:45.926984770+08:00,184055681,"222
"
2024-11-06T19:32:46.028149214+08:00,184042129,"222
"
2024-11-06T19:32:46.129309473+08:00,184051041,"222
"
2024-11-06T19:32:46.230484010+08:00,184060337,"222
"
2024-11-06T19:32:46.331655936+08:00,184055681,"222
"
2024-11-06T19:32:46.432830621+08:00,184051041,"222
"
2024-11-06T19:32:46.533992066+08:00,184069249,"222
"
2024-11-06T19:32:46.635154362+08:00,184069249,"222
"
2024-11-06T19:32:46.736327621+08:00,184069249,"222
"
2024-11-06T19:32:48.126605028+08:00,184069249,"222
"
2024-11-06T19:32:48.227791213+08:00,184060337,"222
"
2024-11-06T19:32:48.328980435+08:00,184069249,"222
"
2024-11-06T19:32:48.430189898+08:00,184069249,"222
"
2024-11-06T19:32:48.531396083+08:00,184042129,"222
"
2024-11-06T19:32:48.632585435+08:00,184051041,"222
"
2024-11-06T19:32:48.733786564+08:00,184042129,"222
"
2024-11-06T19:32:48.834959250+08:00,184060337,"222
"
2024-11-06T19:32:48.936121194+08:00,184060337,"222
"
2024-11-06T19:32:49.037285324+08:00,184060337,"222
"
2024-11-06T19:32:50.854040619+08:00,184069249,"222
"
2024-11-06T19:32:50.955241600+08:00,184069249,"222
"
2024-11-06T19:32:51.056403915+08:00,184060337,"222
"
2024-11-06T19:32:51.157569896+08:00,184060721,"222
"
2024-11-06T19:32:51.258747341+08:00,184069633,"222
"
2024-11-06T19:32:51.359918693+08:00,184051425,"222
"
2024-11-06T19:32:51.461079915+08:00,184042129,"222
"
2024-11-06T19:32:51.562239952+08:00,184060337,"222
"
2024-11-06T19:32:51.663400229+08:00,184069249,"222
"
2024-11-06T19:32:51.764568563+08:00,184042129,"222
"
2024-11-06T19:32:56.689478560+08:00,184069249,"222
"
2024-11-06T19:32:56.790705819+08:00,184051041,"222
"
2024-11-06T19:32:56.891885097+08:00,184060337,"222
"
2024-11-06T19:32:56.993062319+08:00,184060337,"222
"
2024-11-06T19:32:57.094237485+08:00,184069249,"222
"
2024-11-06T19:32:57.195414171+08:00,184060337,"222
"
2024-11-06T19:32:57.296586856+08:00,184078545,"222
"
2024-11-06T19:32:57.397768615+08:00,184060337,"222
"
2024-11-06T19:32:57.498946670+08:00,184042129,"222
"
2024-11-06T19:32:57.600120393+08:00,184064977,"222
"
